file,nodes_expanded,reached_goal,best_path_len,start_yx,goal_yx,end_x,end_y,runtime_sec,history_mode
map_data_1.npz,124,0,41,"(3, 15)","(7, 1)",7.857374668121338,0.8829746246337891,24.342175917699933,none
map_data_1.npz,91,0,57,"(3, 15)","(7, 1)",4.847327709197998,0.927562654018402,29.03722189799737,full
map_data_2.npz,1,0,1,"(29, 11)","(3, 5)",11.0,29.0,24.6321176411584,none
map_data_2.npz,1,0,1,"(29, 11)","(3, 5)",11.0,29.0,29.59722957700069,full
map_data_3.npz,395,0,81,"(6, 43)","(31, 2)",30.35294914245605,15.310145378112791,24.25327562200073,full
map_data_3.npz,455,0,89,"(6, 43)","(31, 2)",28.13853073120117,15.17165184020996,23.739899957552552,none
map_data_4.npz,1,0,1,"(12, 17)","(16, 6)",17.0,12.0,24.81224284227937,none
map_data_4.npz,1,0,1,"(12, 17)","(16, 6)",17.0,12.0,23.69714893499986,full
map_data_5.npz,27,0,9,"(3, 15)","(41, 3)",14.518769264221191,4.544281482696533,23.796327830292284,none
map_data_5.npz,33,0,9,"(3, 15)","(41, 3)",14.5427885055542,4.555450439453125,27.9311594949977,full
map_data_6.npz,1,0,1,"(17, 15)","(4, 3)",15.0,17.0,29.51192374099992,full
map_data_6.npz,1,0,1,"(17, 15)","(4, 3)",15.0,17.0,24.154762344434857,none
map_data_7.npz,32,0,9,"(6, 19)","(3, 5)",17.41731834411621,5.6609063148498535,28.579390128998057,full
map_data_7.npz,30,0,9,"(6, 19)","(3, 5)",17.395172119140625,5.76216983795166,23.93364767916501,none
map_data_8.npz,1,0,1,"(19, 19)","(33, 6)",19.0,19.0,24.480091215111315,none
map_data_8.npz,1,0,1,"(19, 19)","(33, 6)",19.0,19.0,28.911537718000545,full
map_data_9.npz,324,0,65,"(3, 38)","(1, 24)",25.290658950805664,2.521282196044922,24.294263725169003,none
map_data_9.npz,327,0,65,"(3, 38)","(1, 24)",25.422080993652344,2.74955677986145,29.17988091599909,full
map_data_11.npz,29,0,9,"(28, 37)","(1, 26)",36.36039352416992,26.505285263061523,29.13002574100028,full
map_data_11.npz,33,0,9,"(28, 37)","(1, 26)",36.32828903198242,26.53577041625977,24.03080652281642,none
map_data_12.npz,415,0,65,"(46, 32)","(25, 36)",34.02875900268555,33.421268463134766,24.005604210309684,none
map_data_12.npz,326,0,65,"(46, 32)","(25, 36)",34.03120803833008,33.55690002441406,29.028665647998423,full
map_data_13.npz,155,0,17,"(1, 41)","(11, 47)",39.906036376953125,3.481649398803711,28.40641511300055,full
map_data_13.npz,3,0,9,"(1, 41)","(11, 47)",41.43266677856445,2.5271284580230717,24.4230821961537,none
map_data_14.npz,414,0,73,"(26, 7)","(12, 3)",4.644317150115967,12.024219512939451,23.796270492486656,none
map_data_14.npz,341,0,65,"(26, 7)","(12, 3)",3.195922374725342,14.282078742980955,29.52177753500109,full
map_data_15.npz,1,0,1,"(9, 4)","(8, 9)",4.0,9.0,29.056640457001777,full
map_data_15.npz,2,0,9,"(9, 4)","(8, 9)",5.498735427856445,8.5313138961792,24.383115651085973,none
map_data_16.npz,2,0,9,"(26, 27)","(43, 27)",26.279905319213867,27.364086151123047,28.525164670001686,full
map_data_16.npz,3,0,9,"(26, 27)","(43, 27)",26.468158721923828,27.44767189025879,24.546897164545957,none
map_data_17.npz,149,0,49,"(35, 15)","(4, 9)",14.478376388549805,25.53095817565918,24.404590147547424,none
