file,reached_goal_full,reached_goal_none,nodes_expanded_full,nodes_expanded_none,best_path_len_full,best_path_len_none,runtime_sec_full,runtime_sec_none
map_data_1.npz,0.0,0.0,91.0,124.0,57.0,41.0,29.03722189799737,24.342175917699933
map_data_100.npz,0.0,0.0,1.0,1.0,1.0,1.0,27.39235621900116,24.131760880351067
map_data_1000.npz,0.0,0.0,7.0,6.0,9.0,9.0,28.75584681199689,24.81523425411433
map_data_103.npz,0.0,0.0,3.0,3.0,9.0,9.0,28.62008022900045,24.104203706607223
map_data_104.npz,0.0,0.0,106.0,124.0,33.0,33.0,27.417533434998404,24.819366114214063
map_data_105.npz,0.0,0.0,2.0,2.0,9.0,9.0,24.23091217699948,24.19874099828303
map_data_106.npz,0.0,0.0,1.0,1.0,1.0,1.0,23.780378839999685,24.07380323391408
map_data_107.npz,0.0,0.0,268.0,342.0,41.0,73.0,28.50480578000133,24.324030031450093
map_data_108.npz,0.0,0.0,21.0,16.0,9.0,9.0,23.60780895700009,25.87922465242445
map_data_109.npz,0.0,0.0,2.0,3.0,9.0,9.0,29.180429339998227,23.986503547988832
map_data_11.npz,0.0,0.0,29.0,33.0,9.0,9.0,29.13002574100028,24.03080652281642
map_data_110.npz,0.0,0.0,137.0,213.0,25.0,73.0,23.522513908999827,23.626055132597685
map_data_111.npz,0.0,0.0,247.0,209.0,81.0,49.0,29.13595436200194,24.11035576276481
map_data_112.npz,0.0,0.0,4.0,3.0,9.0,9.0,23.584969270999864,24.025475448928773
map_data_113.npz,0.0,0.0,145.0,65.0,33.0,49.0,28.50883444899955,23.83808165416121
map_data_114.npz,0.0,0.0,1.0,1.0,1.0,1.0,27.19032763299947,24.005332968197763
map_data_115.npz,0.0,0.0,1.0,1.0,1.0,1.0,28.833044118000544,24.256403396837413
map_data_116.npz,0.0,0.0,219.0,71.0,65.0,33.0,28.54869841999971,24.53274069912732
map_data_117.npz,0.0,0.0,102.0,103.0,41.0,49.0,29.335707207999803,24.0211319103837
map_data_118.npz,0.0,1.0,267.0,103.0,49.0,65.0,29.24393461499858,7.1222391072660685
map_data_119.npz,0.0,0.0,290.0,104.0,81.0,33.0,26.607030592998854,23.819758851081133
map_data_12.npz,0.0,0.0,326.0,415.0,65.0,65.0,29.028665647998423,24.005604210309684
map_data_120.npz,0.0,0.0,97.0,151.0,17.0,65.0,29.085095659000217,24.2590765375644
map_data_121.npz,0.0,0.0,1.0,1.0,1.0,1.0,28.57620609199876,23.970870380289853
map_data_122.npz,0.0,0.0,254.0,224.0,41.0,57.0,28.712479996000184,24.214566458016638
map_data_123.npz,1.0,1.0,83.0,59.0,57.0,57.0,7.219049259001622,3.1797145511955023
map_data_124.npz,1.0,1.0,230.0,132.0,65.0,65.0,22.233707732000767,14.08090313244611
map_data_125.npz,0.0,0.0,169.0,129.0,41.0,41.0,28.617004738000105,24.130908985622227
map_data_127.npz,0.0,0.0,64.0,225.0,25.0,65.0,27.40766879700095,24.28426008671522
map_data_129.npz,0.0,0.0,78.0,5.0,25.0,25.0,29.06023092300165,24.815272494219244
map_data_13.npz,0.0,0.0,155.0,3.0,17.0,9.0,28.40641511300055,24.4230821961537
map_data_130.npz,0.0,0.0,34.0,31.0,17.0,17.0,28.482610385000957,24.43883139546961
map_data_131.npz,0.0,0.0,1.0,1.0,1.0,1.0,23.700756614000056,23.44577729701996
map_data_132.npz,0.0,0.0,1.0,1.0,1.0,1.0,29.29848111299907,24.01821507420391
map_data_133.npz,0.0,0.0,207.0,201.0,49.0,41.0,28.01955655100028,24.34536668099463
map_data_134.npz,0.0,0.0,321.0,204.0,65.0,25.0,28.552936374002456,24.157818322069943
map_data_135.npz,0.0,0.0,249.0,251.0,57.0,57.0,24.81766079499903,24.29566473234445
map_data_136.npz,0.0,0.0,133.0,51.0,49.0,25.0,28.503600302999985,24.00185809377581
map_data_137.npz,0.0,0.0,1.0,1.0,1.0,1.0,29.13422281900057,24.56239322759211
map_data_138.npz,0.0,0.0,35.0,29.0,9.0,9.0,28.4303050799972,24.95351713337004
map_data_139.npz,0.0,0.0,1.0,1.0,1.0,1.0,29.13940620500034,24.204913488589227
map_data_14.npz,0.0,0.0,341.0,414.0,65.0,73.0,29.52177753500109,23.796270492486656
map_data_140.npz,0.0,0.0,365.0,368.0,73.0,65.0,28.26978147099908,24.569185664877292
map_data_141.npz,0.0,0.0,32.0,200.0,17.0,73.0,28.83390779799811,23.77111002523452
map_data_142.npz,0.0,0.0,108.0,62.0,73.0,41.0,23.9566417570004,23.842653923667967
map_data_143.npz,0.0,0.0,44.0,90.0,25.0,25.0,28.48723960899952,24.550719738006592
map_data_144.npz,0.0,0.0,1.0,1.0,1.0,1.0,28.75002749099804,24.83219525963068
map_data_145.npz,0.0,0.0,110.0,356.0,33.0,73.0,28.493677965001552,24.250318347476423
map_data_146.npz,0.0,0.0,44.0,25.0,41.0,17.0,28.19623386600142,23.973138973116875
map_data_147.npz,0.0,0.0,112.0,47.0,33.0,33.0,27.49308710100013,24.437324093654752
map_data_148.npz,0.0,0.0,404.0,418.0,81.0,73.0,28.565234058001806,24.70999370701611
map_data_149.npz,0.0,0.0,20.0,30.0,17.0,17.0,23.434160199999496,23.861245965585116
map_data_15.npz,0.0,0.0,1.0,2.0,1.0,9.0,29.056640457001777,24.383115651085973
map_data_150.npz,0.0,0.0,31.0,31.0,9.0,9.0,27.98760635200233,24.27863865531981
map_data_151.npz,0.0,0.0,1.0,1.0,1.0,1.0,28.85788086100001,24.64534493163228
map_data_152.npz,0.0,0.0,43.0,92.0,25.0,25.0,27.50409930599926,24.80207499768585
map_data_153.npz,0.0,0.0,2.0,2.0,9.0,9.0,29.158263512001213,24.38290335144848
map_data_154.npz,0.0,0.0,1.0,1.0,1.0,1.0,27.37596604099963,24.37552212458104
map_data_155.npz,0.0,0.0,99.0,37.0,25.0,25.0,29.311076670001057,23.87264013383537
map_data_156.npz,0.0,0.0,4.0,2.0,17.0,9.0,28.486699787999896,24.43665261566639
map_data_157.npz,0.0,0.0,1.0,1.0,1.0,1.0,28.47640649800087,25.02402015775442
map_data_158.npz,0.0,0.0,1.0,1.0,1.0,1.0,29.625104079001176,24.169455469585955
map_data_159.npz,0.0,0.0,109.0,102.0,17.0,17.0,28.484058865000407,24.00934679247439
map_data_16.npz,0.0,0.0,2.0,3.0,9.0,9.0,28.525164670001686,24.546897164545957
map_data_160.npz,0.0,0.0,1.0,1.0,1.0,1.0,29.05769288300144,24.825895375572145
map_data_161.npz,0.0,0.0,269.0,107.0,49.0,41.0,28.967970959001832,23.85510156769305
map_data_162.npz,0.0,0.0,231.0,300.0,65.0,57.0,27.466466010999284,24.487675194628537
