file,nodes_expanded,reached_goal,best_path_len,start_yx,goal_yx,end_x,end_y,runtime_sec,history_mode,euclid_start_goal,goal_radius_min,goal_radius_max
map_data_1.npz,1,0,1,"(3, 15)","(1, 10)",15.0,3.0,24.75193977500021,none,3.605551275463989,0.0,5.0
map_data_1.npz,3,1,17,"(3, 15)","(2, 19)",17.952159881591797,2.239109754562378,0.0968830630008596,full,3.0,0.0,5.0
map_data_2.npz,2,1,9,"(29, 11)","(29, 13)",12.559621810913086,28.98908042907715,0.0574264650022087,none,3.605551275463989,0.0,5.0
map_data_2.npz,1,0,1,"(29, 11)","(27, 8)",11.0,29.0,24.97323043399956,full,3.0,0.0,5.0
map_data_3.npz,34,0,9,"(6, 43)","(3, 42)",42.50002670288086,4.492770671844482,24.357524068000203,full,3.0,0.0,5.0
map_data_3.npz,32,0,9,"(6, 43)","(3, 44)",43.488914489746094,4.483538627624512,29.05931004100057,none,3.605551275463989,0.0,5.0
map_data_4.npz,1,0,1,"(12, 17)","(12, 15)",17.0,12.0,28.409912081000584,none,3.605551275463989,0.0,5.0
map_data_4.npz,89,0,17,"(12, 17)","(7, 18)",17.599563598632812,8.87989330291748,24.77304026499769,full,3.0,0.0,5.0
map_data_5.npz,4,1,17,"(3, 15)","(3, 19)",18.07953453063965,3.065863847732544,0.1704618460025813,none,3.605551275463989,0.0,5.0
map_data_5.npz,32,0,9,"(3, 15)","(2, 19)",16.531457901000977,2.6107778549194336,25.007389611004328,full,3.0,0.0,5.0
map_data_6.npz,1,0,1,"(17, 15)","(19, 17)",15.0,17.0,24.920457226005965,full,3.0,0.0,5.0
map_data_6.npz,1,0,1,"(17, 15)","(17, 10)",15.0,17.0,29.74638664200029,none,3.605551275463989,0.0,5.0
map_data_7.npz,2,1,9,"(6, 19)","(3, 19)",18.990036010742188,4.418065071105957,0.0493483980026212,full,3.0,0.0,5.0
map_data_7.npz,1,0,1,"(6, 19)","(8, 16)",19.0,6.0,28.866910167998867,none,3.605551275463989,0.0,5.0
map_data_8.npz,1,0,1,"(19, 19)","(14, 17)",19.0,19.0,28.744542657001148,none,3.605551275463989,0.0,5.0
map_data_8.npz,3,1,17,"(19, 19)","(17, 22)",21.60713768005371,17.224292755126953,0.099047388001054,full,3.0,0.0,5.0
map_data_9.npz,2,1,9,"(3, 38)","(4, 39)",39.105560302734375,4.09468412399292,0.0569764409992785,none,3.605551275463989,0.0,5.0
map_data_9.npz,1,0,1,"(3, 38)","(1, 42)",38.0,3.0,24.655497146995916,full,3.0,0.0,5.0
map_data_11.npz,1,0,1,"(28, 37)","(28, 32)",37.0,28.0,25.03252185799647,full,3.0,0.0,5.0
map_data_11.npz,1,0,1,"(28, 37)","(28, 32)",37.0,28.0,29.489208939998207,none,3.605551275463989,0.0,5.0
map_data_12.npz,2,1,9,"(46, 32)","(47, 33)",33.10183334350586,47.11225891113281,0.0572345130021858,none,3.605551275463989,0.0,5.0
map_data_12.npz,1,0,1,"(46, 32)","(45, 37)",32.0,46.0,24.426694333997148,full,3.0,0.0,5.0
map_data_13.npz,2,1,9,"(1, 41)","(1, 38)",39.42742919921875,1.01146137714386,0.0501587969993124,full,3.0,0.0,5.0
map_data_13.npz,1,0,1,"(1, 41)","(5, 43)",41.0,1.0,29.06698900899937,none,3.605551275463989,0.0,5.0
map_data_14.npz,2,1,9,"(26, 7)","(27, 6)",5.874604225158691,27.12942123413086,0.0569301020004786,none,3.605551275463989,0.0,5.0
map_data_14.npz,2,1,9,"(26, 7)","(25, 7)",6.996072292327881,24.425294876098636,0.0496266420013853,full,3.0,0.0,5.0
map_data_15.npz,1,0,1,"(9, 4)","(7, 5)",4.0,9.0,24.70396564600378,full,3.0,0.0,5.0
map_data_15.npz,29,0,9,"(9, 4)","(6, 7)",5.137213706970215,7.85951042175293,29.28580551500272,none,3.605551275463989,0.0,5.0
map_data_16.npz,34,0,9,"(26, 27)","(22, 25)",26.27021598815918,24.577009201049805,24.17914427799405,full,3.0,0.0,5.0
map_data_16.npz,1,0,1,"(26, 27)","(25, 24)",27.0,26.0,28.21495572999993,none,3.605551275463989,0.0,5.0
map_data_17.npz,1,0,1,"(35, 15)","(38, 17)",15.0,35.0,29.81903015199714,none,3.605551275463989,0.0,5.0
map_data_17.npz,1,0,1,"(35, 15)","(31, 17)",15.0,35.0,24.969727060997684,full,3.0,0.0,5.0
map_data_18.npz,1,0,1,"(17, 16)","(17, 13)",16.0,17.0,24.648245235002832,full,3.0,0.0,5.0
map_data_18.npz,2,1,9,"(17, 16)","(17, 17)",17.581035614013672,16.989168167114258,0.0577629110011912,none,3.605551275463989,0.0,5.0
map_data_19.npz,1,0,1,"(6, 29)","(5, 26)",29.0,6.0,24.516025265998906,full,3.0,0.0,5.0
