file,nodes_expanded,reached_goal,best_path_len,start_yx,goal_yx,end_x,end_y,runtime_sec,history_mode,euclid_start_goal,goal_radius_min,goal_radius_max
map_data_1.npz,2,1,9,"(3, 15)","(1, 14)",14.66595458984375,1.5020244121551514,3.3384066660073586,none,4.0,0.0,5.0
map_data_1.npz,15,0,17,"(3, 15)","(7, 18)",16.999467849731445,5.60874605178833,28.11123488598969,full,2.8284271247461903,0.0,5.0
map_data_2.npz,1,0,1,"(29, 11)","(27, 13)",11.0,29.0,29.968130346998805,none,4.0,0.0,5.0
map_data_2.npz,1,0,1,"(29, 11)","(26, 11)",11.0,29.0,28.764774064009544,full,2.8284271247461903,0.0,5.0
map_data_3.npz,2,1,9,"(6, 43)","(8, 43)",43.01374816894531,7.580541610717773,0.2263474040082655,full,2.8284271247461903,0.0,5.0
map_data_3.npz,3,1,17,"(6, 43)","(2, 43)",43.33639144897461,2.6671347618103027,0.5193146030069329,none,4.0,0.0,5.0
map_data_4.npz,2,1,9,"(12, 17)","(13, 18)",18.06561851501465,13.070322036743164,0.226812028005952,none,4.0,0.0,5.0
map_data_4.npz,5,1,17,"(12, 17)","(16, 17)",17.012845993041992,15.1903657913208,0.903605728992261,full,2.8284271247461903,0.0,5.0
map_data_5.npz,62,0,17,"(3, 15)","(7, 13)",14.790654182434082,6.142984390258789,25.58575648299302,none,4.0,0.0,5.0
map_data_5.npz,6,1,17,"(3, 15)","(7, 14)",14.568016052246094,6.030556201934815,2.0341050179849844,full,2.8284271247461903,0.0,5.0
map_data_6.npz,10,0,9,"(17, 15)","(18, 19)",16.63112449645996,17.415319442749023,28.285485989006705,full,2.8284271247461903,0.0,5.0
map_data_6.npz,2,1,9,"(17, 15)","(17, 16)",16.515178680419922,16.949636459350586,0.2261364439909812,none,4.0,0.0,5.0
map_data_7.npz,17,0,17,"(6, 19)","(1, 19)",18.95193862915039,2.667932510375977,28.04328385501867,full,2.8284271247461903,0.0,5.0
map_data_7.npz,1,0,1,"(6, 19)","(5, 24)",19.0,6.0,28.71948043399607,none,4.0,0.0,5.0
map_data_8.npz,2,1,9,"(19, 19)","(19, 22)",20.619029998779297,19.00889015197754,0.2263375160109717,none,4.0,0.0,5.0
map_data_8.npz,2,1,9,"(19, 19)","(19, 22)",20.59933853149414,19.04281234741211,0.2263428510050289,full,2.8284271247461903,0.0,5.0
map_data_9.npz,2,1,9,"(3, 38)","(5, 40)",39.09228515625,4.113037586212158,0.2274170420132577,none,4.0,0.0,5.0
map_data_9.npz,2,1,9,"(3, 38)","(3, 35)",36.43382263183594,2.9774484634399414,0.2264609380217734,full,2.8284271247461903,0.0,5.0
map_data_11.npz,2,1,9,"(28, 37)","(28, 39)",38.61989212036133,28.00718879699707,0.2262557109934277,full,2.8284271247461903,0.0,5.0
map_data_11.npz,1,0,1,"(28, 37)","(29, 33)",37.0,28.0,28.696426609996703,none,4.0,0.0,5.0
map_data_12.npz,1,0,1,"(46, 32)","(44, 36)",32.0,46.0,28.71803547401214,none,4.0,0.0,5.0
map_data_12.npz,11,0,9,"(46, 32)","(49, 29)",30.861284255981445,47.18414688110352,28.188955623016227,full,2.8284271247461903,0.0,5.0
map_data_13.npz,26,0,25,"(1, 41)","(3, 45)",45.479610443115234,1.4814287424087524,27.65447818298708,full,2.8284271247461903,0.0,5.0
map_data_13.npz,1,0,1,"(1, 41)","(3, 39)",41.0,1.0,29.253165199013893,none,4.0,0.0,5.0
map_data_14.npz,1,0,1,"(26, 7)","(25, 5)",7.0,26.0,28.70391324799857,none,4.0,0.0,5.0
map_data_14.npz,2,1,9,"(26, 7)","(29, 7)",7.038817405700684,27.571632385253903,0.2435869680193718,full,2.8284271247461903,0.0,5.0
map_data_15.npz,9,0,9,"(9, 4)","(8, 7)",5.492716312408447,8.51126766204834,28.40664426397416,full,2.8284271247461903,0.0,5.0
map_data_15.npz,2,1,9,"(9, 4)","(9, 5)",5.439757347106934,8.993247032165527,0.2265665559971239,none,4.0,0.0,5.0
map_data_16.npz,1,0,1,"(26, 27)","(25, 24)",27.0,26.0,29.02325630301493,full,2.8284271247461903,0.0,5.0
map_data_16.npz,2,1,9,"(26, 27)","(25, 27)",26.996484756469727,24.499509811401367,0.2266941319976467,none,4.0,0.0,5.0
map_data_17.npz,1,0,1,"(35, 15)","(38, 19)",15.0,35.0,28.70662459998857,none,4.0,0.0,5.0
map_data_17.npz,48,0,25,"(35, 15)","(31, 13)",14.515984535217283,30.62606239318848,26.05697736699949,full,2.8284271247461903,0.0,5.0
map_data_18.npz,7,1,25,"(17, 16)","(16, 21)",20.900876998901367,16.172948837280273,1.3576115549949463,full,2.8284271247461903,0.0,5.0
map_data_18.npz,2,1,9,"(17, 16)","(15, 14)",14.835545539855955,15.856392860412598,0.2334718599740881,none,4.0,0.0,5.0
map_data_19.npz,1,0,1,"(6, 29)","(7, 31)",29.0,6.0,29.08385724699474,full,2.8284271247461903,0.0,5.0
map_data_19.npz,1,0,1,"(6, 29)","(5, 25)",29.0,6.0,29.44624830799876,none,4.0,0.0,5.0
map_data_20.npz,1,0,1,"(2, 7)","(3, 3)",7.0,2.0,28.7548217230069,full,2.8284271247461903,0.0,5.0
map_data_20.npz,10,0,9,"(2, 7)","(5, 5)",6.023746013641357,3.4623520374298096,28.562465050985335,none,4.0,0.0,5.0
map_data_21.npz,2,1,9,"(1, 11)","(3, 11)",11.05129051208496,2.680738925933838,0.2271431650151498,none,4.0,0.0,5.0
map_data_21.npz,1,0,1,"(1, 11)","(2, 15)",11.0,1.0,29.011571277980693,full,2.8284271247461903,0.0,5.0
map_data_22.npz,8,0,9,"(36, 36)","(37, 33)",34.501739501953125,36.483211517333984,28.618554407003103,none,4.0,0.0,5.0
