file,reached_goal_full,reached_goal_none,nodes_expanded_full,nodes_expanded_none,best_path_len_full,best_path_len_none,runtime_sec_full,runtime_sec_none
map_data_1.npz,0.0,1.0,15.0,2.0,17.0,9.0,28.11123488598969,3.3384066660073586
map_data_100.npz,0.0,0.0,1.0,1.0,1.0,1.0,29.4407598139951,28.713395902013872
map_data_1000.npz,1.0,1.0,10.0,6.0,17.0,9.0,21.81479268698604,1.135538459988311
map_data_103.npz,1.0,0.0,2.0,84.0,9.0,25.0,0.2273524990014266,24.25519389900728
map_data_104.npz,1.0,0.0,5.0,48.0,25.0,25.0,3.502184242010117,26.197039391001454
map_data_105.npz,0.0,0.0,1.0,1.0,1.0,1.0,28.69827657798305,28.86194647601224
map_data_106.npz,0.0,0.0,2.0,1.0,9.0,1.0,28.695759510010248,28.95789141600835
map_data_107.npz,0.0,0.0,1.0,1.0,1.0,1.0,29.00878479200765,28.96460622199811
map_data_108.npz,0.0,1.0,6.0,2.0,9.0,9.0,28.427456495002843,1.1169919300009497
map_data_109.npz,0.0,0.0,10.0,10.0,9.0,9.0,28.18295123500866,28.180099067016272
map_data_11.npz,1.0,0.0,2.0,1.0,9.0,1.0,0.2262557109934277,28.696426609996703
map_data_110.npz,1.0,1.0,4.0,2.0,17.0,9.0,0.690112345997477,0.2262866089877206
map_data_111.npz,1.0,1.0,2.0,2.0,9.0,9.0,0.2262946619885042,0.2261523469933308
map_data_112.npz,0.0,0.0,9.0,11.0,9.0,9.0,28.26006687199697,28.713413693010807
map_data_113.npz,1.0,1.0,2.0,2.0,9.0,9.0,0.2264017339912243,0.2410207419889047
map_data_114.npz,0.0,0.0,1.0,1.0,1.0,1.0,28.86228268800187,28.83061521500349
map_data_115.npz,0.0,0.0,1.0,1.0,1.0,1.0,28.80792797997128,29.129586057009877
map_data_116.npz,1.0,0.0,5.0,11.0,17.0,9.0,4.019382539001526,28.15996745901066
map_data_117.npz,0.0,1.0,12.0,3.0,9.0,17.0,28.52542781701777,0.453326978982659
map_data_118.npz,1.0,1.0,2.0,2.0,9.0,9.0,0.226286841003457,0.2263302530045621
map_data_119.npz,1.0,1.0,2.0,2.0,9.0,9.0,0.2266365480027161,0.2287801880156621
map_data_12.npz,0.0,0.0,11.0,1.0,9.0,1.0,28.188955623016227,28.71803547401214
map_data_120.npz,0.0,1.0,1.0,3.0,1.0,17.0,28.692639796005096,19.974698506004643
map_data_121.npz,0.0,1.0,1.0,10.0,1.0,25.0,28.92470430000685,9.518191769020632
map_data_122.npz,1.0,1.0,3.0,2.0,17.0,9.0,0.4541180040105246,0.2291467890026979
map_data_123.npz,1.0,0.0,4.0,1.0,17.0,1.0,2.9899266040010843,29.13004697798169
map_data_124.npz,1.0,1.0,3.0,10.0,17.0,17.0,0.4527623169997241,9.961291271989468
map_data_125.npz,1.0,1.0,3.0,3.0,17.0,17.0,0.4526083969976753,0.452582447003806
